Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV4551,9,,,,,0.000000E+00,0.7991,9,0,330,330,,,<
TV4552,10,,,,,0.000000E+00,0.7711,10,0,338,338,,,<
TV4553,10,,,,,0.000000E+00,0.5095,10,0,338,338,,,<
TV4554,10,,,,,0.000000E+00,0.5139,10,0,338,338,,
TV4555,10,,,,,0.000000E+00,0.9058,10,0,338,338,,,<
TV4556,9,,,,,0.000000E+00,0.5353,10,0,336,336,,,<
TV4557,10,,,,,0.000000E+00,0.9922,10,0,338,338,,,<
TV4558,10,TV5257,10,,,1.153594E+01,0.5832,10,1,338,338,1.153594E+01,,<
TV4559,10,,,,,0.000000E+00,0.5870,10,0,338,338,,
TV4560,10,,,,,0.000000E+00,0.6028,10,0,338,338,,
TV4561,8,,,,,0.000000E+00,0.9841,8,0,310,310,,,<
TV4562,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4563,10,,,,,0.000000E+00,1.0000,10,0,338,338,,,<
TV4564,10,,,,,0.000000E+00,0.9512,10,0,338,338,,,<
TV4565,10,,,,,0.000000E+00,0.9917,10,0,338,338,,,<
TV4566,10,,,,,0.000000E+00,0.4927,10,0,338,338,,
TV4567,10,,,,,0.000000E+00,0.8583,10,0,338,338,,,<
TV4568,10,,,,,0.000000E+00,0.9381,10,0,338,338,,,<
TV4569,10,,,,,0.000000E+00,0.6600,10,0,338,338,,,<
TV4570,9,,,,,0.000000E+00,0.9889,9,0,332,332,,,<
TV4571,10,,,,,0.000000E+00,0.7293,10,0,338,338,,,<
